CustomerID,Name,Age,Gender,City,Salary,Department
1032,Vikas,51.0,MALE,Lucknow,39122.0,MARKETING
1110,Amit,56.0,FEMALE,Delhi,54961.0,MARKETING
1137,Rohan,42.0,FEMALE,Mumbai,70607.0,Marketing
1089,Neha,29.0,MALE,Jaipur,78574.0,it
1919,Neha,35.0,MALE,Delhi,118459.0,finance
1236,Rahul,35.0,Female,Mumbai,89425.0,SALES
1871,Vikas,40.0,FEMALE,Bangalore,56709.0,hr
1319,Rakesh,43.0,male,Delhi,107912.0,Hr
1262,Riya,54.0,female,Mumbai ,45583.0,operations
1536, Ankit,49.0,MALE,Jaipur,54061.0,it
1920,Rahul,45.0,male,Delhi,100403.0,finance
1597,Divya,30.0,Male,Delhi,107722.0,it
1077,Ankit,51.0,Female,Bangalore,108596.0,Operations
1108, Ayesha,39.0,Male,Bangalore,49729.0,finance
1425,Riya,51.0,Male,Jaipur,55109.0,FINANCE
1585,Sneha,52.0,Male,Hyderabad,38652.0,OPERATIONS
1854,Rohan,24.0,female,Jaipur ,77953.0,hr
1665,Rakesh,53.0,MALE,Delhi,71313.0,SALES
1830,Karan,44.0,MALE,Mumbai,69516.0,MARKETING
1421, Simran,48.0,Female,Delhi,86842.0,marketing
1598,Neha,,MALE,Delhi,37356.0,finance
1459,Ankit,41.0,female,Pune,90618.0,marketing
1313, Vikas,23.0,FEMALE,Lucknow,113791.0,OPERATIONS
1650, Simran,,FEMALE,Hyderabad,39955.0,operations
1366,Simran,59.0,male,Lucknow,110024.0,It
1322,Sneha,53.0,MALE,Hyderabad,,Sales
1630,Sanjana,27.0,Male,Lucknow,57854.0,SALES
1915,Ankit,29.0,female,,75357.0,Sales
1469,Nikhil,48.0,FEMALE,Jaipur,95821.0,IT
1599,Ayesha,25.0,female,Chennai,27187.0,HR
1395,Rahul,25.0,Female,Bangalore,87120.0,HR
1537,Amit,33.0,male,Chennai,49170.0,sales
1721,Vikas,27.0,Male,Hyderabad,55075.0,HR
1334, Priya,24.0,female,Mumbai,41835.0,operations
1410,Priya,42.0,FEMALE,Bangalore,29117.0,Sales
1060,Pooja,,FEMALE,Jaipur,94119.0,Hr
1257,Sneha,58.0,Female,Delhi,67712.0,Sales
1970,Neha,55.0,Female,Chennai,112959.0,Marketing
1686,Priya,24.0,FEMALE,Chennai,,Operations
1343,Rahul,43.0,female,Jaipur,36889.0,FINANCE
1636,Arjun,38.0,FEMALE,Mumbai ,76925.0,Hr
1709,Rakesh,29.0,male,Hyderabad ,25192.0,hr
1011,Riya,43.0,Male,Delhi,84234.0,It
1486,Amit,34.0,MALE,Bangalore ,69816.0,OPERATIONS
1210,Rakesh,38.0,MALE,Lucknow,47412.0,finance
1140,Meera,25.0,FEMALE,Pune,95093.0,OPERATIONS
1389,Neha,59.0,male,Bangalore,79845.0,It
1623,Rohan,31.0,male,Chennai,42413.0,finance
1825,Ayesha,26.0,FEMALE,,42374.0,HR
1718,,20.0,female,Delhi,55698.0,OPERATIONS
1846, Meera,27.0,male,Mumbai,35625.0,HR
1688,Priya,33.0,MALE,Lucknow,68937.0,SALES
1936,Ayesha,54.0,MALE,Lucknow,101234.0,Finance
1582,Rakesh,52.0,Female,Chennai,81704.0,Finance
1383,Kavya,,male,Hyderabad,114116.0,Operations
1071,Ayesha,22.0,female,Chennai,99671.0,FINANCE
1261,Meera,43.0,Male,Hyderabad,,marketing
1801, Meera,32.0,female,Hyderabad,46639.0,OPERATIONS
1454,Amit,31.0,FEMALE,Delhi,87912.0,Sales
1592,Arjun,58.0,male,Hyderabad,89450.0,hr
1907,Divya,41.0,FEMALE,Delhi,69535.0,It
1785,Rohan,52.0,FEMALE,Chennai,89925.0,Hr
1214,Rakesh,31.0,female,Chennai,85957.0,MARKETING
1097,Priya,48.0,female,Jaipur,,Operations
1680,Pooja,,female,Mumbai,,it
1850,Sanjana,48.0,FEMALE,,66609.0,IT
1679,Sneha,55.0,FEMALE,Bangalore,61320.0,Sales
1881,Pooja,54.0,Male,Delhi,68395.0,Finance
1193,Rahul,21.0,Female,,113454.0,hr
1281,Nikhil,53.0,FEMALE,Mumbai,91899.0,sales
1534,Pooja,,MALE,Bangalore,114160.0,MARKETING
1683,Sanjana,,FEMALE,Hyderabad,116057.0,Sales
1618,Nikhil,45.0,male,Chennai,109774.0,operations
1983,Neha,21.0,female,Chennai,114765.0,Sales
1911,Ayesha,28.0,Male,Lucknow,37391.0,FINANCE
1185,Rohan,55.0,female,Mumbai,62544.0,sales
1031,Ankit,,FEMALE,Chennai,119826.0,marketing
1329,Kavya,29.0,Female,Mumbai,29986.0,it
1507,Rohan,24.0,FEMALE,Delhi,52586.0,hr
1055,Pooja,29.0,Male,Lucknow,,Marketing
1024,Ayesha,59.0,male,Delhi,55873.0,finance
1102, Simran,39.0,Male,Delhi,91641.0,Marketing
1550,Rohan,36.0,MALE,Pune,29458.0,Sales
1248,Rakesh,27.0,MALE,Lucknow ,119019.0,marketing
1004,Karan,53.0,FEMALE,Chennai,,HR
1087,Amit,37.0,FEMALE,Hyderabad,110663.0,hr
1844,Riya,40.0,FEMALE,Chennai,65172.0,HR
1953,Riya,44.0,MALE,Jaipur,48993.0,OPERATIONS
1291,Vikas,48.0,MALE,Hyderabad,59998.0,FINANCE
1211,Riya,56.0,Female,Mumbai,118526.0,sales
1803,Sneha,30.0,FEMALE,Chennai,41633.0,SALES
1175,Neha,30.0,female,Jaipur,,OPERATIONS
1200,Divya,59.0,Female,Pune ,115453.0,marketing
1903,Rohan,23.0,female,Mumbai,58457.0,it
1738,Arjun,39.0,female,Lucknow,29994.0,hr
1064,Ayesha,,FEMALE,Lucknow,49532.0,It
1266,Rahul,59.0,female,Lucknow,114285.0,hr
1232,Nikhil,45.0,MALE,Pune,40088.0,Marketing
1804,Ayesha,23.0,Female,Hyderabad,59660.0,FINANCE
1626,,32.0,female,Bangalore,81358.0,Operations
1569,Rahul,51.0,female,Jaipur,53927.0,Marketing
1855,Amit,53.0,Male,Lucknow,109481.0,finance
1040,Meera,37.0,FEMALE,Hyderabad ,,It
1807,Rohan,23.0,Female,Lucknow,84197.0,it
1169,Neha,55.0,Male,Mumbai,72068.0,operations
1591, Nikhil,57.0,female,Hyderabad,56174.0,IT
1465,Vikas,55.0,MALE,Hyderabad,37905.0,marketing
1999,Rohan,36.0,Male,Pune,44288.0,HR
1443,Sneha,49.0,Female,Bangalore,104832.0,Hr
1909,Pooja,,MALE,Hyderabad,115012.0,SALES
